A01nficha;A01uf_mor;localidade_mor;setor_distrito_mor;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf_mor;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor;starttime;A01uf_dom;localidade_dom;setor_distrito_dom;A01ncriancas;A01npessoas13;A01npessoas;B01;B02;B02_1;B02_1_1;B02_2;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13;B13_1;B13_2;B13_3;B13_3_1_1;B13_3_1_2;B13_3_1_3;B13_3_1_4;B13_3_1_5;B13_3_1_88888;B14;B14_1;B14_1_1_1;B14_1_1_2;B14_1_1_3;B14_1_1_88888;B15;B15_1;B15_2;B15_3;B15_3_1_1;B15_3_1_2;B15_3_1_3;B15_3_1_88888;B16;B16_1;B16_2;B16_2_1_1;B16_2_1_2;B16_2_1_3;B16_2_1_4;B16_2_1_5;B16_2_1_88888;B17_1;B17_1_1;B17_2;B17_2_1;B17_2_2;B17_3;B17_4;B18_1;B18_2;B18_3;B19_1;B19_2;B19_3;B19_4;B19_5;B20;C01;C01_1;C02;C02_1;C03;C03_1;C04;C04_1;C05;C05_1_1;C05_1_2;C06_1;C06_2;C07_1;C07_2;C07_3;C07_4;C07_5;C07_6;C07_7;C07_8;C07_9;C07_10;C07_11;C07_12;C07_13;C08;C08_1;C09;C09_1;C09_2;C10_1;C10_2;C10_3;C10_4;C11;C11_1;C11_2;C11_3;C11_4;D15;D16_1;D16_2;D16_3;D16_4;D16_5;grupo_ped;UPT;criterio_brasil;arranjos;renda_domiciliar;renda_domiciliar_r;renda_domiciliar_pc;renda_domiciliar_pc_r;infla_ipcadf_dom;peso_dom;localidade
00018;52;5242;49;00018-1;1;67;99999;99999;67;1;1;99999;5;99999;1;1;00018-2;1;1;99999;2;1;00018-2;1;4;4;4;4;4;76;43;76432160;;;25;25;;;7652;5242;1;2;;1;0;0;1;1;2;1;2;2;1;2;2;53;2;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;9;1;3;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;2;;99999;;99999;;99999;0;0;0;0,0;0;1;1;2;2;5;9,368808155;2024-07-18 14:05:00;52;5242;49;0;2;2;1;1;2;;2;1;;;1;1;2;1;7;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;1;2;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;3;1;1;1;1;;;1;1;1;2;2;2;1;0;2;1;0;1;0;0;5;1;1;1;2;;1;1;2;40;59;40;40;2;;;;;2;;;;;;;;3;6;0;0.0;0.0;0.0;1,0;23,4277408452712;5242
00018;52;5242;49;00018-2;2;36;99999;99999;36;2;2;99999;5;99999;2;;99999;1;1;99999;2;1;00018-1;1;4;4;4;4;4;76;52;76520860;2;2;;;;;;5242;;2;;1;0;0;1;1;2;1;2;2;2;;;;2;1;1;33;1;2;1;;;;;;;;;;;;;;;;;;;;;9;1;3;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;2;;99999;;99999;;99999;0;0;40;0,0;0;1;1;2;2;5;15,77401373;2024-07-18 14:05:00;52;5242;49;0;2;2;1;1;2;;2;1;;;1;1;2;1;7;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;1;2;1;1;2;1;2;2;2;2;1;2;2;2;2;1;1;3;1;1;1;1;;;1;1;1;2;2;2;1;0;2;1;0;1;0;0;5;1;1;1;2;;1;1;2;40;59;40;40;2;;;;;2;;;;;;;;3;6;0;0.0;0.0;0.0;1,0;23,4277408452712;5242
00026;52;5242;49;00026-1;1;63;99999;99999;63;1;1;99999;5;99999;1;1;00026-2;1;4;99999;2;1;00026-2;1;4;4;4;4;4;76;50;76500720;;;20;20;;;7652;5242;8;2;;1;0;0;1;1;2;1;2;2;1;1;1;40;2;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;7;2;;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;2;;99999;;99999;1412;1412;0;0;40;1412,0;1412;1;1;2;2;2;10,01888872;2024-07-09 15:49:00;52;5242;49;0;4;4;1;1;2;;2;1;;;1;1;2;2;5;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;1;2;;;;;;;2;;2;;;1;2;1;2;1;1;2;2;2;2;1;1;2;2;;2;;;;1;1;1;1;2;1;0;1;0;0;0;1;0;0;1;1;0;1;2;;2;;;12;59;59;59;1;0;2;0;0;1;2;1;2;2;2;;;5;4;1412;1412.0;353.0;353.0;1,0;23,4277408452712;5242
00026;52;5242;49;00026-2;2;60;99999;99999;60;2;2;99999;5;99999;2;;99999;1;4;99999;2;1;00026-1;1;4;4;4;4;4;76;50;76500290;;;20;20;;;7652;5242;8;2;;1;0;0;1;1;2;1;2;2;2;;;;2;1;2;28;1;2;1;;;;;;;;;;;;;;;;;;;;;14;1;8;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;2;;99999;;99999;;99999;0;0;28;0,0;0;1;1;2;2;7;12,53157757;2024-07-09 15:49:00;52;5242;49;0;4;4;1;1;2;;2;1;;;1;1;2;2;5;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;1;2;;;;;;;2;;2;;;1;2;1;2;1;1;2;2;2;2;1;1;2;2;;2;;;;1;1;1;1;2;1;0;1;0;0;0;1;0;0;1;1;0;1;2;;2;;;12;59;59;59;1;0;2;0;0;1;2;1;2;2;2;;;5;4;1412;1412.0;353.0;353.0;1,0;23,4277408452712;5242
00026;52;5242;49;00026-3;3;27;99999;99999;27;1;1;99999;5;99999;4;;99999;1;1;99999;1;3;99999;2;4;4;4;4;4;76;50;76500270;;;20;20;;;7652;5242;8;2;;1;0;0;1;1;2;1;2;2;2;;;;1;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;14;1;10;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;1;;99999;;99999;;99999;0;0;0;0,0;0;1;1;2;2;7;15,15640684;2024-07-09 15:49:00;52;5242;49;0;4;4;1;1;2;;2;1;;;1;1;2;2;5;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;1;2;;;;;;;2;;2;;;1;2;1;2;1;1;2;2;2;2;1;1;2;2;;2;;;;1;1;1;1;2;1;0;1;0;0;0;1;0;0;1;1;0;1;2;;2;;;12;59;59;59;1;0;2;0;0;1;2;1;2;2;2;;;5;4;1412;1412.0;353.0;353.0;1,0;23,4277408452712;5242
00026;52;5242;49;00026-4;4;32;99999;99999;32;2;2;99999;5;99999;4;;99999;1;4;99999;1;2;99999;2;4;4;4;4;4;76;50;76500270;;;20;20;;;7652;5242;8;1;7652;1;0;0;1;1;2;1;2;2;2;;;;1;2;;;1;2;1;;;;;;;;;;;;;;;;;;;;;14;1;10;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;1;;99999;;99999;;99999;0;0;14;0,0;0;1;1;2;2;7;13,70419606;2024-07-09 15:49:00;52;5242;49;0;4;4;1;1;2;;2;1;;;1;1;2;2;5;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;1;2;;;;;;;2;;2;;;1;2;1;2;1;1;2;2;2;2;1;1;2;2;;2;;;;1;1;1;1;2;1;0;1;0;0;0;1;0;0;1;1;0;1;2;;2;;;12;59;59;59;1;0;2;0;0;1;2;1;2;2;2;;;5;4;1412;1412.0;353.0;353.0;1,0;23,4277408452712;5242
00032;52;5242;49;00032-1;1;42;99999;99999;42;2;2;99999;8;99999;1;1;00032-2;4;1;99999;2;1;00032-2;2;3;4;4;4;4;76;35;76355030;;;40;40;;;7652;5242;2;2;;1;0;1;0;1;2;1;2;2;2;;;;2;1;2;30;1;2;1;;;;;;;;;;;;;;;;;;;;;9;1;3;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;2;;99999;;99999;600;604,207344;0;0;;600,0;604,207344;0,993036589;1;2;2;5;15,86680205;2024-05-29 09:32:00;52;5242;49;2;3;5;1;1;2;;2;1;;;1;1;2;1;6;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;2;;1;2;5;1;2;1;2;1;1;2;2;2;2;2;1;1;1;1;1;3;;;1;1;2;2;2;1;0;0;1;1;0;0;0;0;1;1;0;0;2;;2;;;40;59;59;59;1;0;2;0;0;1;1;2;2;2;2;;;4;4;;;;;0,993036589108391;23,4277408452712;5242
00032;52;5242;49;00032-2;2;45;99999;99999;45;1;1;99999;10;99999;2;;99999;4;1;99999;2;1;00032-1;1;3;4;4;4;4;76;52;76520080;2;2;;;;;;5242;;2;;1;0;0;1;1;2;1;2;2;2;;;;2;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;8;2;5;2;2;2;;99999;2;;99999;1;20;;;1;40;2;2;2;2;1;2;2;;5;8;3;;;;1;1;;99999;0;0;;99999;;99999;0;;99999;0,993036589;1;2;2;2;12,11562745;2024-05-29 09:32:00;52;5242;49;2;3;5;1;1;2;;2;1;;;1;1;2;1;6;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;2;;1;2;5;1;2;1;2;1;1;2;2;2;2;2;1;1;1;1;1;3;;;1;1;2;2;2;1;0;0;1;1;0;0;0;0;1;1;0;0;2;;2;;;40;59;59;59;1;0;2;0;0;1;1;2;2;2;2;;;4;4;;;;;0,993036589108391;23,4277408452712;5242
00032;52;5242;49;00032-3;3;69;99999;99999;69;2;2;99999;8;99999;8;;99999;4;1;99999;5;2;99999;2;4;4;4;4;4;76;31;;;;40;40;;;7652;5242;1;2;;0;0;0;0;2;;;;;2;;;;2;1;1;26;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;99999;1;0;100700,217;2;;;;;;;;;;;;;;;;;;;;;2;;99999;;99999;;99999;0;0;;0,0;0;0,993036589;1;2;2;8;12,70447592;2024-05-29 09:32:00;52;5242;49;2;3;5;1;1;2;;2;1;;;1;1;2;1;6;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;2;;1;2;5;1;2;1;2;1;1;2;2;2;2;2;1;1;1;1;1;3;;;1;1;2;2;2;1;0;0;1;1;0;0;0;0;1;1;0;0;2;;2;;;40;59;59;59;1;0;2;0;0;1;1;2;2;2;2;;;4;4;;;;;0,993036589108391;23,4277408452712;5242
00032;52;5242;49;00032-4;4;12;99999;99999;12;1;;99999;;99999;4;;99999;4;1;99999;;;99999;;4;4;4;4;4;76;52;76520110;2;2;;;;;;5242;;;;1;1;1;0;1;2;1;2;2;2;;;;2;;;;1;1;;1;1;1;40;2;2;2;2;2;2;2;1;2;;8;1;4;7;;;;;;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;;;99999;;99999;;99999;0;0;0;0,0;0;0,993036589;;;;2;14,52523764;2024-05-29 09:32:00;52;5242;49;2;3;5;1;1;2;;2;1;;;1;1;2;1;6;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;2;;1;2;5;1;2;1;2;1;1;2;2;2;2;2;1;1;1;1;1;3;;;1;1;2;2;2;1;0;0;1;1;0;0;0;0;1;1;0;0;2;;2;;;40;59;59;59;1;0;2;0;0;1;1;2;2;2;2;;;4;4;;;;;0,993036589108391;23,4277408452712;5242
00032;52;5242;49;00032-5;5;10;99999;99999;10;2;;99999;;99999;4;;99999;1;1;99999;;;99999;;4;4;4;4;4;76;52;76520110;2;2;;;;;;5242;;;;1;0;1;0;1;2;1;2;2;2;;;;2;2;;;1;1;;1;1;1;40;2;2;2;2;2;2;2;2;1;;9;1;4;5;;;;;;2;2;2;;99999;2;;99999;2;;;;;;;;;;;;;;;;;;;;;;;99999;;99999;;99999;0;0;2;0,0;0;0,993036589;;;;2;15,90546384;2024-05-29 09:32:00;52;5242;49;2;3;5;1;1;2;;2;1;;;1;1;2;1;6;3;2;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;2;;1;2;5;1;2;1;2;1;1;2;2;2;2;2;1;1;1;1;1;3;;;1;1;2;2;2;1;0;0;1;1;0;0;0;0;1;1;0;0;2;;2;;;40;59;59;59;1;0;2;0;0;1;1;2;2;2;2;;;4;4;;;;;0,993036589108391;23,4277408452712;5242
00038;52;5242;49;00038-1;1;89;99999;99999;89;2;2;99999;5;99999;1;;99999;1;;99999;5;2;99999;2;3;4;3;4;4;76;25;76250430;;;10;10;7653;765303;7652;5242;1;;;1;0;0;1;1;2;1;2;2;1;1;4;40;2;1;5;19;1;2;1;;;;;;;;;;;;;;;;;;;;;9;1;3;2;2;1;1412;1434,582794;2;;99999;2;;;;;;;;;;;;;;;;;;;;;2;;99999;;99999;;99999;850;863,5944581;;2262,0;2298,177252;0,984258285;1;2;2;5;8,097327048;2024-03-13 10:24:00;52;5242;49;0;1;1;1;1;2;;2;5;;;;1;2;4;6;2;2;1;2;1;2;;;;;;;1;1;0;1;0;0;1;2;2;2;;;;;2;;1;0;0;1;0;0;0;1;2;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;;2;;2;;;;1;1;2;2;2;1;1;1;0;0;0;0;0;0;1;0;0;1;2;;2;;;40;59;59;59;1;0;1;0;0;2;;;;;;;;6;1;2262;2298.17725190678;2262.0;2298.17725190678;0,984258284744242;23,4277408452712;5242
00057;52;5242;49;00057-1;1;40;99999;99999;40;2;2;99999;5;99999;1;2;99999;4;1;99999;2;2;99999;1;4;4;4;4;4;76;52;76520030;2;2;;;;;;5242;;2;;1;0;1;0;1;2;1;2;2;1;1;1;42;2;1;3;18;1;2;1;;;;;;;;;;;;;;;;;;;;;8;2;8;2;2;2;;99999;2;;99999;1;25;0;25;1;2;2;1;2;2;2;2;2;;2;4;7;;2;2;;2;500;500;0;0;700;700;;99999;30;;99999;1;1;2;2;2;15,86680205;2024-07-11 14:29:00;52;5242;49;0;3;3;1;1;2;;2;2;1005;;2;2;2;4;6;3;1;1;2;1;2;;;;;;;2;1;0;1;0;0;1;2;2;2;;;;;1;2;2;;;;;;;1;5;1;2;3;1;2;2;2;2;1;2;2;1;2;2;1;1;2;;1;1;;;1;1;2;2;2;1;1;1;0;0;0;1;0;0;0;0;0;1;2;;2;;;40;59;40;59;1;0;3;0;0;1;1;2;2;2;2;;;6;2;;;;;1,0;23,4277408452712;5242
