A01nficha;A01uf_mor;localidade_mor;setor_distrito_mor;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf_mor;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor;starttime;A01uf_dom;localidade_dom;setor_distrito_dom;A01ncriancas;A01npessoas13;A01npessoas;B01;B02;B02_1;B02_1_1;B02_2;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13;B13_1;B13_2;B13_3;B13_3_1_1;B13_3_1_2;B13_3_1_3;B13_3_1_4;B13_3_1_5;B13_3_1_88888;B14;B14_1;B14_1_1_1;B14_1_1_2;B14_1_1_3;B14_1_1_88888;B15;B15_1;B15_2;B15_3;B15_3_1_1;B15_3_1_2;B15_3_1_3;B15_3_1_88888;B16;B16_1;B16_2;B16_2_1_1;B16_2_1_2;B16_2_1_3;B16_2_1_4;B16_2_1_5;B16_2_1_88888;B17_1;B17_1_1;B17_2;B17_2_1;B17_2_2;B17_3;B17_4;B18_1;B18_2;B18_3;B19_1;B19_2;B19_3;B19_4;B19_5;B20;C01;C01_1;C02;C02_1;C03;C03_1;C04;C04_1;C05;C05_1_1;C05_1_2;C06_1;C06_2;C07_1;C07_2;C07_3;C07_4;C07_5;C07_6;C07_7;C07_8;C07_9;C07_10;C07_11;C07_12;C07_13;C08;C08_1;C09;C09_1;C09_2;C10_1;C10_2;C10_3;C10_4;C11;C11_1;C11_2;C11_3;C11_4;D15;D16_1;D16_2;D16_3;D16_4;D16_5;grupo_ped;UPT;criterio_brasil;arranjos;renda_domiciliar;renda_domiciliar_r;renda_domiciliar_pc;renda_domiciliar_pc_r;infla_ipcadf_dom;peso_dom;localidade
00008;52;5241;43;00008-1;1;62;1961-11-02;99999;99999;2;2;99999;8;99999;1;99999;99999;1;2;99999;5;2;99999;2;3;4;4;4;4;76;32;76320080;99999;99999;28;28;99999;99999;7652;5241;6;99999;99999;1;0;0;1;2;99999;99999;99999;99999;1;1;4;41;2;1;3;16;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;4;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;99999;99999;99999;99999;600;610,8762398;0;0;88888;600;610,8762398;0,982195674;1;2;2;2;123,9342705;2024-02-16 13:32:00;52;5241;43;0;1;1;1;1;2;99999;2;1;99999;99999;2;1;2;2;6;1;1;1;2;1;2;99999;99999;99999;99999;99999;99999;1;2;99999;99999;99999;99999;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;1;1;2;88888;1;2;88888;2;1;2;1;2;2;1;1;2;99999;2;99999;2;99999;99999;99999;3;99999;99999;2;99999;1;1;1;0;0;0;0;0;0;1;0;0;0;2;99999;2;99999;99999;41;41;41;41;1;2;0;0;0;1;1;2;2;2;2;99999;99999;6;1;600;610.876239823815;600;610.876239823815;0.982195673829201;253.787500071735;5241
00149;52;5241;43;00149-1;1;68;1955-08-09;99999;99999;2;2;99999;8;99999;1;1;00149-2;1;3;99999;1;2;99999;2;3;4;2;4;2;76;25;76251620;99999;99999;30;30;99999;99999;7652;5241;4;1;9;1;0;0;1;1;2;1;2;2;1;2;4;41;2;1;11;14;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;1;1412;1426,735747;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;300;303,1308245;14;1712;1729,866572;0,989671705;1;2;2;8;104,4736447;2024-04-22 11:15:00;52;5241;43;1;3;4;1;1;2;99999;2;1;99999;99999;2;1;2;2;6;3;2;1;2;1;2;99999;99999;99999;99999;99999;99999;2;1;1;0;0;0;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;4;2;99999;99999;1;1;1;2;1;1;2;2;2;2;2;1;1;1;2;1;2;99999;99999;1;1;1;2;2;2;0;1;1;0;0;1;0;0;1;0;0;2;2;99999;2;99999;99999;41;41;41;41;1;1;0;0;0;2;99999;99999;99999;99999;99999;99999;99999;5;2;99999;99999;99999;99999;0.989671705310335;253.787500071735;5241
00149;52;5241;43;00149-2;2;40;99999;99999;40;1;1;99999;10;99999;5;99999;99999;1;12;99999;1;2;99999;2;3;3;4;4;4;76;25;76251210;99999;99999;30;30;99999;99999;7652;5241;1;2;99999;1;0;88888;88888;1;2;1;1;2;2;99999;99999;99999;2;99999;99999;99999;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;2;99999;99999;2;99999;99999;1;10;0;40;1;41;2;2;2;2;2;1;2;99999;6;4;3;99999;99999;99999;2;2;88888;99999;0;0;99999;99999;88888;99999;14;99999;99999;0,989671705;1;2;2;8;191,6599601;2024-04-22 11:15:00;52;5241;43;1;3;4;1;1;2;99999;2;1;99999;99999;2;1;2;2;6;3;2;1;2;1;2;99999;99999;99999;99999;99999;99999;2;1;1;0;0;0;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;4;2;99999;99999;1;1;1;2;1;1;2;2;2;2;2;1;1;1;2;1;2;99999;99999;1;1;1;2;2;2;0;1;1;0;0;1;0;0;1;0;0;2;2;99999;2;99999;99999;41;41;41;41;1;1;0;0;0;2;99999;99999;99999;99999;99999;99999;99999;5;2;99999;99999;99999;99999;0.989671705310335;253.787500071735;5241
00149;52;5241;43;00149-3;3;39;99999;99999;39;2;2;99999;8;99999;5;99999;99999;4;12;99999;1;2;99999;2;4;4;4;4;4;76;25;76251210;99999;99999;30;30;99999;99999;7652;5241;1;1;9;1;0;1;0;1;2;1;1;2;1;1;1;1;2;1;2;24;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;1;1412;1426,735747;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;30;1412;1426,735747;0,989671705;1;2;2;8;267,5535261;2024-04-22 11:15:00;52;5241;43;1;3;4;1;1;2;99999;2;1;99999;99999;2;1;2;2;6;3;2;1;2;1;2;99999;99999;99999;99999;99999;99999;2;1;1;0;0;0;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;4;2;99999;99999;1;1;1;2;1;1;2;2;2;2;2;1;1;1;2;1;2;99999;99999;1;1;1;2;2;2;0;1;1;0;0;1;0;0;1;0;0;2;2;99999;2;99999;99999;41;41;41;41;1;1;0;0;0;2;99999;99999;99999;99999;99999;99999;99999;5;2;99999;99999;99999;99999;0.989671705310335;253.787500071735;5241
00149;52;5241;43;00149-4;4;8;99999;99999;8;1;99999;99999;99999;99999;10;99999;99999;1;12;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;8;8;99999;99999;7652;5241;99999;99999;99999;1;0;1;0;1;2;1;1;2;1;1;1;9;2;99999;99999;99999;1;1;99999;1;1;2;41;2;1;2;2;2;2;2;2;2;99999;2;1;4;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,989671705;99999;99999;99999;2;186,6059741;2024-04-22 11:15:00;52;5241;43;1;3;4;1;1;2;99999;2;1;99999;99999;2;1;2;2;6;3;2;1;2;1;2;99999;99999;99999;99999;99999;99999;2;1;1;0;0;0;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;4;2;99999;99999;1;1;1;2;1;1;2;2;2;2;2;1;1;1;2;1;2;99999;99999;1;1;1;2;2;2;0;1;1;0;0;1;0;0;1;0;0;2;2;99999;2;99999;99999;41;41;41;41;1;1;0;0;0;2;99999;99999;99999;99999;99999;99999;99999;5;2;99999;99999;99999;99999;0.989671705310335;253.787500071735;5241
00161;52;5241;43;00161-1;1;56;99999;99999;56;1;1;99999;10;99999;1;1;00161-2;4;2;99999;1;2;99999;1;3;4;4;4;4;76;25;76250670;99999;99999;6;6;7653;765325;7652;5241;2;2;99999;1;0;0;1;1;2;1;2;2;1;2;2;9;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;5;2;2;2;99999;99999;2;99999;99999;1;0;5;40;1;9;2;1;2;2;2;2;2;99999;2;3;7;99999;2;1;99999;1;1200;1208,414688;0;0;99999;99999;88888;99999;5;99999;99999;0,993036589;1;2;2;2;105,8383827;2024-05-09 17:13:00;52;5241;43;0;2;2;1;1;2;99999;2;1;99999;99999;1;1;2;1;5;2;1;1;2;1;2;99999;99999;99999;99999;99999;99999;2;1;1;0;0;0;1;2;2;2;99999;99999;99999;99999;1;1;2;99999;99999;99999;99999;99999;99999;1;3;1;1;5;1;2;1;2;2;1;2;2;2;2;1;1;1;1;1;2;99999;99999;99999;3;99999;99999;2;99999;1;1;0;1;0;1;1;0;0;0;0;0;0;2;99999;2;99999;99999;41;41;41;41;1;0;1;0;0;2;99999;99999;99999;99999;99999;99999;99999;6;7;99999;99999;99999;99999;0.993036589108391;253.787500071735;5241
00161;52;5241;43;00161-2;2;14;2009-07-23;99999;99999;2;99999;99999;99999;99999;5;99999;99999;4;2;99999;1;3;99999;99999;3;4;4;4;4;76;53;7653;99999;99999;2;2;7653;765306;7653;765306;1;2;99999;1;0;0;1;1;2;1;2;2;1;1;1;41;2;2;99999;99999;1;1;99999;1;1;2;41;2;2;2;2;2;2;2;2;1;99999;9;1;4;9;99999;99999;99999;99999;99999;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;111;111,7783586;20;111;111,7783586;0,993036589;99999;99999;99999;2;188,2678855;2024-05-09 17:13:00;52;5241;43;0;2;2;1;1;2;99999;2;1;99999;99999;1;1;2;1;5;2;1;1;2;1;2;99999;99999;99999;99999;99999;99999;2;1;1;0;0;0;1;2;2;2;99999;99999;99999;99999;1;1;2;99999;99999;99999;99999;99999;99999;1;3;1;1;5;1;2;1;2;2;1;2;2;2;2;1;1;1;1;1;2;99999;99999;99999;3;99999;99999;2;99999;1;1;0;1;0;1;1;0;0;0;0;0;0;2;99999;2;99999;99999;41;41;41;41;1;0;1;0;0;2;99999;99999;99999;99999;99999;99999;99999;6;7;99999;99999;99999;99999;0.993036589108391;253.787500071735;5241
00165;52;5241;43;00165-1;1;56;1968-03-01;99999;99999;2;2;99999;8;99999;1;2;99999;1;1;99999;1;2;99999;1;4;4;4;4;4;76;15;76150140;99999;99999;22;22;99999;99999;7652;5241;8;1;9;1;0;1;0;1;2;1;1;2;1;1;1;3;2;1;2;16;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;6;2;1;2;99999;99999;2;99999;99999;1;2;0;40;1;41;2;1;2;2;2;2;2;99999;2;1;3;99999;99999;99999;1;1;3280;3314,230348;0;0;99999;99999;88888;99999;20;99999;99999;0,989671705;1;2;2;7;132,7216726;2024-04-30 16:22:00;52;5241;43;1;3;4;1;1;2;99999;2;3;99999;600;99999;1;2;2;8;2;3;1;2;1;2;99999;99999;99999;99999;99999;99999;1;2;99999;99999;99999;99999;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;5;1;2;4;1;2;1;1;1;2;1;2;1;1;2;1;1;2;99999;2;99999;99999;99999;1;1;1;2;2;1;1;0;1;0;0;1;0;0;1;0;0;1;2;99999;2;99999;99999;30;9;9;41;2;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;4;2;99999;99999;99999;99999;0.989671705310335;253.787500071735;5241
00165;52;5241;43;00165-2;2;29;99999;99999;29;2;2;99999;8;99999;5;99999;99999;1;2;99999;1;2;99999;1;4;4;4;4;4;76;53;7653;99999;99999;10;10;7653;765309;7652;5241;6;1;9;1;0;1;0;1;2;1;1;2;1;1;1;4;2;1;1;20;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;1;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;7;0;0;0,989671705;1;2;2;5;210,7845276;2024-04-30 16:22:00;52;5241;43;1;3;4;1;1;2;99999;2;3;99999;600;99999;1;2;2;8;2;3;1;2;1;2;99999;99999;99999;99999;99999;99999;1;2;99999;99999;99999;99999;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;5;1;2;4;1;2;1;1;1;2;1;2;1;1;2;1;1;2;99999;2;99999;99999;99999;1;1;1;2;2;1;1;0;1;0;0;1;0;0;1;0;0;1;2;99999;2;99999;99999;30;9;9;41;2;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;4;2;99999;99999;99999;99999;0.989671705310335;253.787500071735;5241
00165;52;5241;43;00165-3;3;29;99999;99999;29;1;1;99999;10;99999;7;99999;99999;4;2;99999;1;2;99999;1;3;4;4;4;4;76;21;76211085;99999;99999;10;10;7653;765303;7652;5241;6;1;3;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;2;1;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;7;0;0;0,989671705;1;2;2;4;314,2108888;2024-04-30 16:22:00;52;5241;43;1;3;4;1;1;2;99999;2;3;99999;600;99999;1;2;2;8;2;3;1;2;1;2;99999;99999;99999;99999;99999;99999;1;2;99999;99999;99999;99999;1;2;2;2;99999;99999;99999;99999;1;2;2;99999;99999;99999;99999;99999;99999;1;5;1;2;4;1;2;1;1;1;2;1;2;1;1;2;1;1;2;99999;2;99999;99999;99999;1;1;1;2;2;1;1;0;1;0;0;1;0;0;1;0;0;1;2;99999;2;99999;99999;30;9;9;41;2;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;4;2;99999;99999;99999;99999;0.989671705310335;253.787500071735;5241
